case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_046,2,5,budget_beam,success,77846,12,12,2.3751535839401186,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_beam/summary.json
case_083,2,5,baseline,success,184594,12,12,4.532843625056557,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/baseline/summary.json
case_018,3,5,budget_beam,success,196701,12,12,8.01862679189071,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_beam/summary.json
case_018,2,5,baseline,success,197769,12,12,4.68900924990885,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/baseline/summary.json
case_031,3,5,baseline,success,273059,12,12,11.749426457914524,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/baseline/summary.json
case_031,2,5,budget_beam,success,273263,12,12,17.854824790963903,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_beam/summary.json
case_046,3,5,budget_greedy,success,77846,12,12,2.509328000014648,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_greedy/summary.json
case_083,3,5,baseline,success,184594,12,12,4.98605975008104,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/baseline/summary.json
case_018,3,5,baseline,success,196701,12,12,5.230855542002246,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/baseline/summary.json
case_046,3,5,wide_legacy,success,77846,12,12,2.3892261249711737,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/summary.json
case_046,2,5,wide_legacy,success,77846,12,12,2.199331042007543,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/wide_legacy/summary.json
case_018,2,5,budget_greedy,success,197737,12,12,8.042394790914841,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_greedy/summary.json
case_046,3,5,baseline,success,77846,12,12,2.000616459059529,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/baseline/summary.json
case_018,2,5,wide_legacy,success,197769,12,12,6.134858999983408,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/wide_legacy/summary.json
case_083,2,5,budget_beam,success,183856,12,12,8.01869162498042,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/budget_beam/summary.json
case_018,3,5,local_legacy,success,196701,12,12,6.768652749946341,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/local_legacy/summary.json
case_083,3,5,wide_legacy,success,184594,12,12,6.959433041978627,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/wide_legacy/summary.json
case_083,2,5,local_legacy,success,184594,12,12,6.444985207985155,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/local_legacy/summary.json
case_083,3,5,budget_beam,success,183787,12,12,8.450423249974847,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_beam/summary.json
case_046,3,5,budget_beam,success,77846,12,12,2.5341571250464767,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_beam/summary.json
case_046,2,5,local_legacy,success,77846,12,12,2.2162178750149906,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/local_legacy/summary.json
case_018,2,5,budget_beam,success,197769,12,12,8.208782500005327,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p2_n5/budget_beam/summary.json
case_046,2,5,baseline,success,77846,12,12,1.969500125036575,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/baseline/summary.json
case_031,2,5,baseline,success,273240,12,12,11.673115791985765,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/baseline/summary.json
case_031,3,5,local_legacy,success,276203,12,12,15.532052666996606,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p3_n5/local_legacy/summary.json
case_018,3,5,budget_greedy,success,196701,12,12,8.766940291970968,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_greedy/summary.json
case_083,3,5,local_legacy,success,184594,12,12,7.025364249944687,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/local_legacy/summary.json
case_083,3,5,budget_greedy,success,183787,12,12,8.517159417038783,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p3_n5/budget_greedy/summary.json
case_031,2,5,budget_greedy,success,273263,12,12,19.200157792074606,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_greedy/summary.json
case_083,2,5,wide_legacy,success,184594,12,12,6.814651209046133,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_083/p2_n5/wide_legacy/summary.json
