case,method,seed,makespan,logical_calls,new_calls,elapsed_seconds,timeouts,winner_plan
case_017,component,42,35340,8,4,1.108773292042315,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001000-2c2ef15d1213403a854570f9e56dc8ec/plan.json
case_024,adaptive,42,2555343,6,0,0.6013831660384312,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001000-c027f55359c04d1e9ba491c56358603b/plan.json
case_100,adaptive,17,57971,8,0,0.23322450008708984,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001000-cbb324e4f8ef494db69cb805accb06be/plan.json
case_068,legacy,73,303554,8,0,0.32260979199782014,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001000-1384e2610b6645ebbd268542a4ac8555/plan.json
case_027,legacy,73,558753,8,0,0.3000234579667449,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-35e32386d735456f9fa49fa2a83ede05/plan.json
case_009,legacy,17,92225,8,0,0.3400998750003055,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-fb82e071cb094580a79d84fb82e64e3d/plan.json
case_048,component,42,222220,1,0,0.012471791938878596,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-6f0557505e634e818b2d85e01400ec43/plan.json
case_064,component,17,19116,1,0,0.0073289170395582914,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-21e3efd5c4854c258c794d5083d7afb9/plan.json
case_036,adaptive,42,187182,5,0,0.46313779102638364,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-82b7d23c97524642be7c21c9eef0bbd5/plan.json
case_027,component,42,558753,8,5,1.3062572499038652,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001002-63719c9bbdad47c1953168b82228bdb8/plan.json
case_023,component,17,24268,8,4,0.7566414159955457,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001003-053bb7f231284d478450c668ca4ee797/plan.json
case_027,legacy,42,558753,8,0,0.3012862498871982,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001004-47335684d046474981c966145223e979/plan.json
case_026,adaptive,42,41688,8,1,0.28076237498316914,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001004-180bdaae602f411795a26a322d564099/plan.json
case_023,legacy,73,24268,8,0,0.13305075000971556,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001004-164e372ae54a42e193ae5f00848273a8/plan.json
case_018,legacy,42,205917,8,1,0.9419363749912009,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001004-59459e7a11f54ed8a7bc9917a9c5eb92/plan.json
case_048,component,17,222220,1,0,0.011915583978407085,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001005-7abac2e3a1134d2e9a30f46cae05d6f8/plan.json
case_009,component,17,92198,8,4,9.418179707950912,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001001-e2232484892b47a49526cd922b98f473/plan.json
case_074,component,73,332081,8,5,5.4060535409953445,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001008-2a87feab3b344ab4a4c55333ed150d64/plan.json
case_093,legacy,42,15876,8,0,0.08037908293772489,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001010-d941213ae81945b09db6095830ceae8f/plan.json
case_064,adaptive,17,16469,8,3,0.5029440420912579,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001011-da9594749cee46e6b14b02f419d6afc5/plan.json
case_074,adaptive,73,334798,4,0,0.6600747499614954,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001011-d1c7b7cc194a4daf82033ee97519806d/plan.json
case_009,adaptive,42,83830,8,0,0.7988749160431325,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001012-fe94be1dd25c4ba3845f90596c19ef4d/plan.json
case_050,legacy,73,108160,8,0,0.2698467499576509,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001013-0fed585974134d8fbe6ffbeabc793c67/plan.json
case_036,component,73,187182,8,4,2.2199251250131056,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001011-3d92f2f34d554336970e5c4ccdeaf29a/plan.json
case_036,adaptive,73,187182,5,0,0.46853087504860014,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001013-d6797d2976af48f48c42d448ba10bf32/plan.json
case_074,adaptive,17,333227,4,0,0.663158499985002,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001013-5cf16d84428f40edaf81394ccb49cb61/plan.json
case_048,component,73,222220,1,0,0.01388266694266349,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001013-f77e7b0fba8445f882439534e4f57d29/plan.json
case_017,adaptive,17,35496,4,0,0.23719495895784348,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-fc928789336f49c0a85e3c41564f4210/plan.json
case_064,component,42,19116,1,0,0.007675791974179447,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-68708819a57e4ab5b6777ebef099a49b/plan.json
case_026,legacy,42,42058,8,0,0.08736504102125764,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-b6e16c6a28a8404ab3980a0286fc6d87/plan.json
case_068,adaptive,17,268666,8,0,0.7548641669563949,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-0f2f3c97a42a4e239248d7726358703e/plan.json
case_042,legacy,42,357340,8,0,0.5536210830323398,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-78074390f1e042f393fd44276e4a9c0f/plan.json
case_017,adaptive,73,35496,4,1,0.4414024169091135,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-6163fe922cb8456ab1a8749828ef7c30/plan.json
case_017,component,17,35496,8,4,1.163925249944441,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001014-f982197eef194ae784e308b494361b67/plan.json
case_018,adaptive,42,205917,5,0,0.5268225000472739,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001015-445b27d5286842d1b1e273f517101ea5/plan.json
case_093,component,17,15876,8,0,0.07452166697476059,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001015-f81578346c554118bd0426228fdc8289/plan.json
case_009,legacy,42,92225,8,0,0.3482046250719577,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001016-cc40f39dfdb848938b2739067d9d58a5/plan.json
case_064,legacy,42,19116,8,0,0.03566841594874859,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001016-4d3c282afab44d8788514fda894f01ad/plan.json
case_100,legacy,42,58085,8,0,0.13698537508025765,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001016-ef43447e7cd24883b483811a0cc43714/plan.json
case_036,legacy,73,187182,8,0,0.26762816694099456,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001016-b7a6721341f84b96b40509f85d306805/plan.json
case_036,component,17,187182,8,0,0.22848258400335908,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001016-afb333a4fc2e4e4ab96443a2efe5e15f/plan.json
case_017,legacy,17,35496,8,0,0.16819083399605006,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001017-c5618adb4c304d1a8b23eb67edaec12c/plan.json
case_018,adaptive,17,205917,5,0,0.5093171659391373,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001017-0cd763f8eb8743bda443316a022872ca/plan.json
case_023,legacy,42,24486,8,1,0.2678076250012964,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001017-02a03f511ed94ef0bd50d8c375f2f029/plan.json
case_042,adaptive,42,351786,4,0,0.8188313749851659,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001018-1203685ae58341148bd58528c3251238/plan.json
case_009,component,42,92198,8,0,0.2671735829208046,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001018-41262e0e4d0649cc852796b5dffb2752/plan.json
case_050,adaptive,73,78548,8,0,0.6806270000524819,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001019-7619e14dc3ad41829d44b454b405e1d0/plan.json
case_064,legacy,73,19116,8,0,0.03510062501300126,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001019-27e3e7fb423a445b85dbed447006da81/plan.json
case_023,legacy,17,24268,8,0,0.12947849999181926,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001019-5f60831a4ba6472d89a3e9d223ac8ade/plan.json
case_064,adaptive,42,16469,8,1,0.23233845795039088,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001019-fa3b577384474f2cba6992782053e231/plan.json
case_100,component,42,57989,8,4,0.9662741670617834,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001020-fc5fbbdc58ce442eb507f90181391196/plan.json
case_093,adaptive,17,15876,2,0,0.10747199994511902,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001021-6698d9f7fad84f17b8a6bd11f94680fb/plan.json
case_024,component,73,2555343,1,0,0.03719175001606345,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001021-4667ad8aa4174efcbb9db0f72a7deb6e/plan.json
case_068,adaptive,42,268666,8,0,0.7482291660271585,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001021-1f231ce6bb684d9d8a2a8fe78192dcfa/plan.json
case_048,adaptive,17,222220,8,0,0.1764534170506522,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001021-dc70e79af8334c2f94b98a46499b1d82/plan.json
case_068,component,73,302408,8,4,8.404418000020087,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001015-ad451521fcbb439596a577d38fca8f5a/plan.json
case_100,legacy,73,58085,8,2,0.5112652080133557,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001023-59785cd98386475aa26bc745575ed943/plan.json
case_018,component,17,205917,8,4,2.5261407919460908,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001022-1c7863a6172f4ced920008175d93b10c/plan.json
case_068,component,17,302408,8,0,0.25498262501787394,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001024-ffcdcb20e72f4a698b387c2edf07201c/plan.json
case_068,legacy,17,303554,8,0,0.33467733301222324,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001024-defdbc28586443a6b955d9f62cea468a/plan.json
case_024,legacy,73,2555343,8,0,0.13720329105854034,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001024-d3f6f6cafbed4c5eb769129511dc705d/plan.json
case_064,adaptive,73,16469,8,0,0.10148183407727629,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-c99a94aac5dc45fd93fa729b89c6c105/plan.json
case_074,adaptive,42,336492,4,0,0.6564949169987813,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-bf9a83507b7e44f49a181791382a55d3/plan.json
case_048,legacy,73,222220,8,0,0.05521149991545826,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-647f5f6a10924121807376393c2bed7f/plan.json
case_026,legacy,73,42058,8,0,0.08715170796494931,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-64a702031acf443e950023a733d950fb/plan.json
case_017,adaptive,42,35496,4,0,0.24412874993868172,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-dcee9ab6cc0b49ec91f0ed5a3474bb9b/plan.json
case_036,legacy,42,187182,8,0,0.2683522499864921,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-f56b23baed3d4e5082ff1933af5d8148/plan.json
case_018,legacy,73,205917,8,1,0.9443674170179293,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001025-0011d55e2ffa4b5a9af9ae0cc20012c6/plan.json
case_036,legacy,17,187182,8,0,0.26392408297397196,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001026-d0164249f8f4407ea3b40fd70e17594d/plan.json
case_026,adaptive,73,41688,8,0,0.14303133299108595,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001026-73dc1a48f6d049b89b075e375abff8c4/plan.json
case_017,legacy,73,35496,8,0,0.18204495799727738,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001026-9af7e39eaaaa48809afc3bf13edb2948/plan.json
case_093,adaptive,42,15876,2,0,0.1103709590388462,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001026-25640b2f55724aa8bdf3791de3dbc4b0/plan.json
case_018,adaptive,73,205917,5,0,0.534785124938935,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001026-e5308699a0a345b39f346efdc892e3f3/plan.json
case_023,component,42,24268,8,3,0.573804457904771,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001027-88bc1b4c081d47efbc8e8096b8b07ee4/plan.json
case_048,adaptive,73,222220,8,0,0.16994774993509054,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001027-c98575041e8146408464cabcdcd0e3a3/plan.json
case_068,component,42,302408,8,0,0.25377804099116474,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001028-db722f9cb09944f192acf411d22be423/plan.json
case_026,component,73,41688,8,1,0.20650762505829334,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001028-62e41698b9c3476691df7ff3d4890399/plan.json
case_023,adaptive,17,24268,2,0,0.1780373330693692,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001028-5b36d41f73304d37aa8c192ec99b5d55/plan.json
case_017,component,73,35496,8,4,1.1119309579953551,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001028-68eb9998f2714fa38f1ddf40068c7505/plan.json
case_050,legacy,42,108160,8,0,0.2726680419873446,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001029-5b8483de56694323be4eba23ea7589ad/plan.json
case_068,adaptive,73,268666,8,0,0.7483344589127228,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001030-4fadebafad234c5e821c865cf69ac4a9/plan.json
case_027,legacy,17,558753,8,0,0.3159882089821622,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001031-0aedcac2a7e24c3a969d016c8f2990da/plan.json
case_050,legacy,17,108160,8,0,0.27110954094678164,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001031-22352cf9572643f18728c407ad899f34/plan.json
case_050,component,17,108121,8,0,0.2112506249686703,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001031-b1e92de7ef3346d0b8d946d59647ee52/plan.json
case_100,adaptive,73,57971,8,0,0.244694291963242,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001031-1d2641720e73458eb26b74dfb03b8fd3/plan.json
case_026,legacy,17,42058,8,0,0.08982504101004452,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001031-2ca821c67c5e47a4a4f0aa4c0759572d/plan.json
case_100,legacy,17,58085,8,0,0.1408263329649344,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001032-68db0b0cb7254f07ac80e610b3766028/plan.json
case_009,component,73,92198,8,0,0.2713451669551432,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001032-b9e0d5eab0234f02bcac73186e5a034b/plan.json
case_026,component,17,41688,8,1,0.21258458297234029,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001032-27a4ed43fe6b42bf8e35b4751ce10254/plan.json
case_074,legacy,17,333227,8,0,0.4556384579045698,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001032-e49586eca62f4065a988648bea2b7321/plan.json
case_064,component,73,19116,1,0,0.007339333998970687,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001032-4e46021e93554ea1af111a79ce11ce49/plan.json
case_050,adaptive,42,78548,8,1,1.247978208004497,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001033-af53085267004cb9bf58f55928aae997/plan.json
case_024,legacy,17,2555343,8,0,0.13803504197858274,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001034-6a6563cc2bc44191badf38a1de1534aa/plan.json
case_042,component,73,358345,8,6,8.914323708973825,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001030-68b9d7aada9b4a89ad01bce148d0852d/plan.json
case_018,component,73,205917,8,3,2.0257571670226753,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001035-2373a9329b62400f8c817379cdd133a1/plan.json
case_036,component,42,187182,8,0,0.22922604100313038,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001037-0a2966a69f2b4ed1aee26cc83d29a244/plan.json
case_093,legacy,73,15876,8,0,0.08138329198118299,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001037-15954101b846407ab0884123d4b86450/plan.json
case_048,legacy,42,222220,8,0,0.05484979099128395,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001037-7be8ec9600bd4584a902ea3824f0d12f/plan.json
case_024,adaptive,73,2555343,6,0,0.6229062919737771,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001037-d33b9c109e674681ab9d5a4a41a708f4/plan.json
