config_id,case,problem,cores,group,variant,event_index,event,parent_record,family,accepted,lineage,record,protected_remaining,depth,local_accepted,global_accepted,stale_parent,status,global_improvement,visits_carried,observation,quota,origin,reason,visits
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,1,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124834-cdbf219abe2d428dbac3173f89300511/record.json,legacy,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,2,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124845-2fc2ddf3291140599964fcac2fc98aef/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,3,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124852-8f5c2024d9944ad0b46fe9c62a31b155/record.json,region,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,4,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124834-cdbf219abe2d428dbac3173f89300511/record.json,legacy,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,5,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124845-2fc2ddf3291140599964fcac2fc98aef/record.json,region,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,6,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124852-8f5c2024d9944ad0b46fe9c62a31b155/record.json,data,True,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,7,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124905-89f2809d9f4e474fb62a8af85a927ff2/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,8,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124912-3ffbe93aaefa4bae8656dafd10d859c1/record.json,region,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,9,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124905-89f2809d9f4e474fb62a8af85a927ff2/record.json,legacy,True,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,10,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124915-118c617b677e41579f3afdaa99515756/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,11,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124922-91eb13f360984906b8dbbed35fa4f607/record.json,region,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,12,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124915-118c617b677e41579f3afdaa99515756/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,13,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124922-91eb13f360984906b8dbbed35fa4f607/record.json,legacy,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,14,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124915-118c617b677e41579f3afdaa99515756/record.json,region,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,15,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124922-91eb13f360984906b8dbbed35fa4f607/record.json,legacy,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,16,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124905-89f2809d9f4e474fb62a8af85a927ff2/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,17,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124915-118c617b677e41579f3afdaa99515756/record.json,legacy,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,18,legacy_visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/legacy/attempt_001/evaluations/attempts/20260926T124922-91eb13f360984906b8dbbed35fa4f607/record.json,data,False,,,,,,,,,,,,,,,
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,1,visit,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/persistent/attempt_001/evaluations/attempts/20260926T124940-21dd11fbcd674e27ba0198fdb4fb73f6/record.json,insertion,,0,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/持续联合冲刺_20260926/冻结75配置/configurations/case_060_p2_n5/persistent/attempt_001/evaluations/attempts/20260926T124952-8040637fe83e4691ab3bfd3520948b55/record.json,1,0,False,False,True,success,,,,,,,
