case,problem,method,call,family,parent_record,parent_span,best_before,alternative_parent,strictly_worse_parent,status,time_improved,span
case_046,3,budget_beam,7,structure,,,92391,False,False,success,False,105932
case_046,3,budget_beam,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192141-9444e85cd2e24a3d87df6ee69ec91f9a/record.json,105932,92391,True,True,success,True,77846
case_046,3,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192142-114c968149c6492dbbdb85502eaf5020/record.json,77846,77846,False,False,success,False,79056
case_046,3,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192142-506e173442bf4397aaea959b996b636c/record.json,79056,77846,True,True,success,False,79056
case_046,3,budget_beam,11,structure,,,77846,False,False,success,False,121494
case_046,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_beam/evaluations/attempts/20260925T192142-4a9d3bfab0d042a78c4a2e2f4df1f37b/record.json,79056,77846,True,True,success,False,93464
case_046,2,budget_beam,7,structure,,,93013,False,False,success,False,124612
case_046,2,budget_beam,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192143-ea51913893e24984a4d330c332e5a6f8/record.json,124612,93013,True,True,success,True,77846
case_046,2,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192143-d59adc05863e4bb89b40c8f928486c03/record.json,77846,77846,False,False,success,False,79056
case_046,2,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192144-7cd69e123e074e8497f3ffb1ab26f3d0/record.json,79056,77846,True,True,success,False,79056
case_046,2,budget_beam,11,structure,,,77846,False,False,success,False,142176
case_046,2,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192144-485c0ea8246d4204962b77578835b4f2/record.json,79056,77846,True,True,success,False,94086
case_083,2,budget_beam,7,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_beam/evaluations/attempts/20260925T192150-b000923ac85847eba3b8df22cf621299/record.json,442480,309183,True,True,success,True,184594
case_083,2,budget_beam,8,structure,,,184594,False,False,success,False,442480
