case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_011,3,5,local_legacy,success,45993,12,12,2.45488791691605,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p3_n5/local_legacy/summary.json
case_005,1,5,local_legacy,success,77072,12,12,8.811410541995429,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_005/p1_n5/local_legacy/summary.json
case_046,3,5,baseline,success,77846,12,12,1.9587083330843598,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p3_n5/baseline/summary.json
case_066,1,5,baseline,success,199671,12,12,17.64256908406969,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_066/p1_n5/baseline/summary.json
case_018,2,5,baseline,success,197769,12,12,4.4830237498972565,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p2_n5/baseline/summary.json
case_075,1,5,baseline,success,1322078,12,12,33.955385958077386,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_075/p1_n5/baseline/summary.json
case_083,3,5,local_legacy,success,184843,12,12,7.393777083954774,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p3_n5/local_legacy/summary.json
case_083,3,5,integrated,success,252350,12,12,8.786419208045118,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p3_n5/integrated/summary.json
case_043,1,5,local_legacy,success,243923,12,12,69.91555104102008,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_043/p1_n5/local_legacy/summary.json
case_046,3,5,integrated,success,92391,12,12,2.363929916988127,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p3_n5/integrated/summary.json
case_011,2,5,integrated,success,41537,12,12,3.07747345790267,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p2_n5/integrated/summary.json
case_018,3,5,baseline,success,196701,12,12,5.324127750005573,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p3_n5/baseline/summary.json
case_046,3,5,local_legacy,success,92391,12,12,2.1739713329588994,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p3_n5/local_legacy/summary.json
case_005,1,5,integrated,success,61202,12,12,11.863606374943629,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_005/p1_n5/integrated/summary.json
case_046,2,5,integrated,success,93013,12,12,2.3098219169769436,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_046/p2_n5/integrated/summary.json
case_075,1,5,integrated,success,760157,12,12,46.89995400002226,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_075/p1_n5/integrated/summary.json
case_018,2,5,local_legacy,success,197769,12,12,5.774281040998176,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p2_n5/local_legacy/summary.json
case_018,3,5,integrated,success,196701,12,12,9.772405165946111,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_018/p3_n5/integrated/summary.json
case_011,2,5,local_legacy,success,45422,12,12,2.3721834589960054,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p2_n5/local_legacy/summary.json
case_011,2,5,baseline,success,46487,12,12,1.9864921249682084,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_011/p2_n5/baseline/summary.json
case_075,1,5,local_legacy,success,1307985,12,12,48.10071191599127,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_075/p1_n5/local_legacy/summary.json
case_066,1,5,local_legacy,success,193891,12,12,32.68086291698273,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_066/p1_n5/local_legacy/summary.json
case_005,1,5,baseline,success,77072,12,12,9.47212624992244,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_005/p1_n5/baseline/summary.json
case_066,1,5,integrated,success,198200,12,12,30.585220583016053,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_066/p1_n5/integrated/summary.json
case_083,2,5,baseline,success,184594,12,12,4.937686208984815,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_083/p2_n5/baseline/summary.json
case_043,1,5,baseline,success,222525,12,12,44.45720429101493,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v1/slots/case_043/p1_n5/baseline/summary.json
