case,problem,cores,method,call,phase,status,best_makespan
case_011,3,5,local_legacy,1,component,success,46777
case_011,3,5,local_legacy,2,component,success,46777
case_011,3,5,local_legacy,3,wcc,success,46777
case_011,3,5,local_legacy,4,wcc,success,46777
case_011,3,5,local_legacy,5,wcc_probe,success,46777
case_011,3,5,local_legacy,6,operation,success,46777
case_011,3,5,local_legacy,7,legacy,success,46387
case_011,3,5,local_legacy,8,legacy,success,46387
case_011,3,5,local_legacy,9,structure,success,46387
case_011,3,5,local_legacy,10,legacy,success,46387
case_011,3,5,local_legacy,11,legacy,success,45993
case_011,3,5,local_legacy,12,legacy,success,45993
case_005,1,5,local_legacy,1,component,success,95618
case_005,1,5,local_legacy,2,partition,success,95618
case_005,1,5,local_legacy,3,partition,success,94524
case_005,1,5,local_legacy,4,partition,success,77072
case_005,1,5,local_legacy,5,task_refine,success,77072
case_005,1,5,local_legacy,6,task_refine,success,77072
case_005,1,5,local_legacy,7,legacy,success,77072
case_005,1,5,local_legacy,8,legacy,success,77072
case_005,1,5,local_legacy,9,structure,success,77072
case_005,1,5,local_legacy,10,legacy,success,77072
case_005,1,5,local_legacy,11,legacy,success,77072
case_005,1,5,local_legacy,12,legacy,success,77072
case_046,3,5,baseline,1,component,success,108388
case_046,3,5,baseline,2,component,success,108388
case_046,3,5,baseline,3,wcc,success,108388
case_046,3,5,baseline,4,wcc,success,92391
case_046,3,5,baseline,5,component,success,92391
case_046,3,5,baseline,6,wcc,success,92391
case_046,3,5,baseline,7,component,success,92391
case_046,3,5,baseline,8,wcc,success,92391
case_046,3,5,baseline,9,component,success,92391
case_046,3,5,baseline,10,wcc,success,77846
case_046,3,5,baseline,11,component,success,77846
case_046,3,5,baseline,12,wcc,success,77846
case_066,1,5,baseline,1,component,success,250449
case_066,1,5,baseline,2,component,success,249246
case_066,1,5,baseline,3,component,success,248521
case_066,1,5,baseline,4,partition,success,248503
case_066,1,5,baseline,5,partition,success,246351
case_066,1,5,baseline,6,partition,success,205062
case_066,1,5,baseline,7,partition,success,205062
case_066,1,5,baseline,8,partition,success,205062
case_066,1,5,baseline,9,tensor,success,205062
case_066,1,5,baseline,10,task_refine,success,199671
case_066,1,5,baseline,11,task_refine,success,199671
case_066,1,5,baseline,12,task_refine,success,199671
case_018,2,5,baseline,1,component,success,205917
case_018,2,5,baseline,2,component,success,205917
case_018,2,5,baseline,3,wcc,success,205550
case_018,2,5,baseline,4,wcc,success,203434
case_018,2,5,baseline,5,wcc_probe,success,197769
case_018,2,5,baseline,6,operation,success,197769
case_018,2,5,baseline,7,operation,success,197769
case_018,2,5,baseline,8,trace,success,197769
case_018,2,5,baseline,9,trace,success,197769
case_018,2,5,baseline,10,trace,success,197769
case_018,2,5,baseline,11,trace,success,197769
case_018,2,5,baseline,12,trace,success,197769
case_075,1,5,baseline,1,component,success,1441809
case_075,1,5,baseline,2,partition,success,1441809
case_075,1,5,baseline,3,partition,success,1441809
case_075,1,5,baseline,4,partition,success,1441809
case_075,1,5,baseline,5,partition,success,1441809
case_075,1,5,baseline,6,partition,success,1440131
case_075,1,5,baseline,7,partition,success,1438628
case_075,1,5,baseline,8,partition,success,1438628
case_075,1,5,baseline,9,tensor,success,1322078
case_075,1,5,baseline,10,tensor,success,1322078
case_075,1,5,baseline,11,task_refine,success,1322078
case_075,1,5,baseline,12,task_refine,success,1322078
case_083,3,5,local_legacy,1,component,success,310731
case_083,3,5,local_legacy,2,component,success,310731
case_083,3,5,local_legacy,3,wcc,success,310731
case_083,3,5,local_legacy,4,wcc,success,256114
case_083,3,5,local_legacy,5,component,success,256114
case_083,3,5,local_legacy,6,wcc,success,256114
