case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_046,3,5,local_legacy,success,77846,12,12,2.3408781670732424,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p3_n5/local_legacy/summary.json
case_011,2,5,integrated,success,41537,12,12,2.9200941249728203,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p2_n5/integrated/summary.json
case_083,3,5,local_legacy,success,184594,12,12,5.904456292046234,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p3_n5/local_legacy/summary.json
case_011,2,5,local_legacy,success,45422,12,12,2.36625266703777,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p2_n5/local_legacy/summary.json
case_011,3,5,baseline,success,46329,12,12,1.9928975410293788,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p3_n5/baseline/summary.json
case_046,2,5,local_legacy,success,77846,12,12,2.0917394999414682,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p2_n5/local_legacy/summary.json
case_046,3,5,baseline,success,77846,12,12,1.9956899581011385,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p3_n5/baseline/summary.json
case_083,2,5,local_legacy,success,184594,12,12,5.532288083108142,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p2_n5/local_legacy/summary.json
case_018,2,5,local_legacy,success,197769,12,12,5.639580541057512,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p2_n5/local_legacy/summary.json
case_083,3,5,integrated,success,183787,12,12,8.510975582990795,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p3_n5/integrated/summary.json
case_046,3,5,integrated,success,77846,12,12,2.619757583946921,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p3_n5/integrated/summary.json
case_046,2,5,baseline,success,77846,12,12,1.9612671670038253,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p2_n5/baseline/summary.json
case_011,2,5,baseline,success,46487,12,12,1.9923145830398425,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p2_n5/baseline/summary.json
case_018,3,5,baseline,success,196701,12,12,5.080110791954212,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p3_n5/baseline/summary.json
case_011,3,5,integrated,success,41537,12,12,3.1840849169529974,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p3_n5/integrated/summary.json
case_046,2,5,integrated,success,77846,12,12,2.518019082956016,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_046/p2_n5/integrated/summary.json
case_018,2,5,baseline,success,197769,12,12,4.827483500004746,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p2_n5/baseline/summary.json
case_018,3,5,integrated,success,196701,12,12,9.714814916951582,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p3_n5/integrated/summary.json
case_018,2,5,integrated,success,197737,12,12,9.4087852089433,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p2_n5/integrated/summary.json
case_083,3,5,baseline,success,184594,12,12,4.8548819159623235,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p3_n5/baseline/summary.json
case_083,2,5,integrated,success,183856,12,12,8.674062291975133,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p2_n5/integrated/summary.json
case_083,2,5,baseline,success,184594,12,12,4.797570833005011,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_083/p2_n5/baseline/summary.json
case_011,3,5,local_legacy,success,45993,12,12,2.5407936660340056,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_011/p3_n5/local_legacy/summary.json
case_018,3,5,local_legacy,success,196701,12,12,6.422346791950986,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v3/slots/case_018/p3_n5/local_legacy/summary.json
